symbol,date,marketCap
AZPN,2024-08-30,14822935120
AZPN,2024-08-29,14528552920
AZPN,2024-08-28,13894839840
AZPN,2024-08-27,13570702880
AZPN,2024-08-26,13539048880
AZPN,2024-08-23,13689088840
AZPN,2024-08-22,13790381640
AZPN,2024-08-21,13855588880
AZPN,2024-08-20,13631478560
AZPN,2024-08-19,13511193360
AZPN,2024-08-16,13356088760
AZPN,2024-08-15,13478906280
AZPN,2024-08-14,13502963320
AZPN,2024-08-13,13508027960
AZPN,2024-08-12,13239602040
AZPN,2024-08-09,13380145800
AZPN,2024-08-08,13233904320
AZPN,2024-08-07,13188177000
AZPN,2024-08-06,11330364240
AZPN,2024-08-05,11015661293
AZPN,2024-08-02,11554010440
AZPN,2024-08-01,11559091080
AZPN,2024-07-31,11936328600
AZPN,2024-07-30,12060804280
AZPN,2024-07-29,12001106760
AZPN,2024-07-26,12253233520
AZPN,2024-07-25,12119231640
AZPN,2024-07-24,11904574600
AZPN,2024-07-23,12013173280
AZPN,2024-07-22,12143364680
AZPN,2024-07-19,12175118680
AZPN,2024-07-18,12250693200
AZPN,2024-07-17,12624120240
AZPN,2024-07-16,12830521240
AZPN,2024-07-15,12511076000
AZPN,2024-07-12,12373898720
AZPN,2024-07-11,12114151000
AZPN,2024-07-10,11869645200
AZPN,2024-07-09,11999836600
AZPN,2024-07-08,12631106120
AZPN,2024-07-05,12584745280
AZPN,2024-07-03,12671751240
AZPN,2024-07-02,12386600320
AZPN,2024-07-01,12566327960
AZPN,2024-06-28,12614594040
AZPN,2024-06-27,12567598120
AZPN,2024-06-26,12090017960
AZPN,2024-06-25,12539654600
AZPN,2024-06-24,12703505240
AZPN,2024-06-21,12610148480
AZPN,2024-06-20,12328808040
AZPN,2024-06-18,12314201200
AZPN,2024-06-17,12460269600
AZPN,2024-06-14,12552991280
AZPN,2024-06-13,12675561720
AZPN,2024-06-12,12991196480
AZPN,2024-06-11,12748595920
AZPN,2024-06-10,12827980920
AZPN,2024-06-07,12864180480
AZPN,2024-06-06,13113766920
AZPN,2024-06-05,13370974320
AZPN,2024-06-04,13052164160
AZPN,2024-06-03,13282698200
AZPN,2024-05-31,13377960200
AZPN,2024-05-30,13323343320
AZPN,2024-05-29,13511962080
AZPN,2024-05-28,13848554480
AZPN,2024-05-24,14032727680
AZPN,2024-05-23,13910157240
AZPN,2024-05-22,14016850680
AZPN,2024-05-21,14053050240
AZPN,2024-05-20,14044159120
AZPN,2024-05-17,14094965520
AZPN,2024-05-16,13583091040
AZPN,2024-05-15,14054320400
AZPN,2024-05-14,13276982480
AZPN,2024-05-13,13165208400
AZPN,2024-05-10,13278252640
AZPN,2024-05-09,13118172060
AZPN,2024-05-08,12599025210
AZPN,2024-05-07,12024460230
AZPN,2024-05-06,12583100460
AZPN,2024-05-03,12873567900
AZPN,2024-05-02,12827067630
AZPN,2024-05-01,12432770820
AZPN,2024-04-30,12540422130
AZPN,2024-04-29,12746169900
AZPN,2024-04-26,12639792570
AZPN,2024-04-25,12612402000
AZPN,2024-04-24,12555709890
AZPN,2024-04-23,12624504810
AZPN,2024-04-22,12553798920
AZPN,2024-04-19,12642340530
AZPN,2024-04-18,12522586410
AZPN,2024-04-17,12579278520
AZPN,2024-04-16,12768464550
AZPN,2024-04-15,12793944150
AZPN,2024-04-12,13471701510
AZPN,2024-04-11,13571708940
AZPN,2024-04-10,13374879030
AZPN,2024-04-09,13590818640
AZPN,2024-04-08,13537948470
AZPN,2024-04-05,13734141390
AZPN,2024-04-04,13636044930
AZPN,2024-04-03,13860265410
AZPN,2024-04-02,13446858900
AZPN,2024-04-01,13707387810
AZPN,2024-03-28,13585722720
AZPN,2024-03-27,13243659090
AZPN,2024-03-26,12857006160
AZPN,2024-03-25,12853821210
AZPN,2024-03-22,12787574250
AZPN,2024-03-21,12792670170
AZPN,2024-03-20,12737889030
AZPN,2024-03-19,12727060200
AZPN,2024-03-18,12521312430
AZPN,2024-03-15,12416209080
AZPN,2024-03-14,12797129100
AZPN,2024-03-13,12794581140
AZPN,2024-03-12,12728334180
AZPN,2024-03-11,13013705700
AZPN,2024-03-08,13124541960
AZPN,2024-03-07,13402906590
AZPN,2024-03-06,12468442260
AZPN,2024-03-05,12253139640
AZPN,2024-03-04,12422578980
AZPN,2024-03-01,12731519130
AZPN,2024-02-29,12350599110
AZPN,2024-02-28,12165235020
AZPN,2024-02-27,11947384440
AZPN,2024-02-26,11887507380
AZPN,2024-02-23,11705328240
AZPN,2024-02-22,11453080200
AZPN,2024-02-21,11289373770
AZPN,2024-02-20,11170256640
AZPN,2024-02-16,11640992250
AZPN,2024-02-15,11513594250
AZPN,2024-02-14,11489388630
AZPN,2024-02-13,11638444290
AZPN,2024-02-12,11965220160
AZPN,2024-02-09,11908528050
AZPN,2024-02-08,12090707190
AZPN,2024-02-07,12256324590
AZPN,2024-02-06,12314290680
AZPN,2024-02-05,12207913350
AZPN,2024-02-02,12405380250
AZPN,2024-02-01,12457613430
AZPN,2024-01-31,12229571010
AZPN,2024-01-30,12850636260
AZPN,2024-01-29,12945547770
AZPN,2024-01-26,12831526560
AZPN,2024-01-25,12870382950
AZPN,2024-01-24,13044918210
AZPN,2024-01-23,13040459280
AZPN,2024-01-22,13138555740
AZPN,2024-01-19,12928986030
AZPN,2024-01-18,12651258390
AZPN,2024-01-17,12619408890
AZPN,2024-01-16,12637881600
AZPN,2024-01-12,12772923480
AZPN,2024-01-11,12630237720
AZPN,2024-01-10,12852547230
AZPN,2024-01-09,12943636800
AZPN,2024-01-08,13306721100
AZPN,2024-01-05,13264042770
AZPN,2024-01-04,13273597620
AZPN,2024-01-03,13239837150
AZPN,2024-01-02,13815676110
AZPN,2023-12-29,14023334850
AZPN,2023-12-28,14053273380
AZPN,2023-12-27,14094040740
AZPN,2023-12-26,14129712180
AZPN,2023-12-22,13909950630
AZPN,2023-12-21,13773634770
AZPN,2023-12-20,13485078300
AZPN,2023-12-19,13688915100
AZPN,2023-12-18,13704202860
AZPN,2023-12-15,13227097350
AZPN,2023-12-14,13164035340
AZPN,2023-12-13,12889492650
AZPN,2023-12-12,12662087220
AZPN,2023-12-11,12762731640
AZPN,2023-12-08,12675464010
AZPN,2023-12-07,12450606540
AZPN,2023-12-06,12370982790
AZPN,2023-12-05,12423215970
AZPN,2023-12-04,12885670710
AZPN,2023-12-01,12621319860
AZPN,2023-11-30,11991973740
AZPN,2023-11-29,11884959420
AZPN,2023-11-28,11679848640
AZPN,2023-11-27,11717431050
AZPN,2023-11-24,11842918080
AZPN,2023-11-22,11756287440
AZPN,2023-11-21,11711698140
AZPN,2023-11-20,11883048450
AZPN,2023-11-17,11698958340
AZPN,2023-11-16,11595765960
AZPN,2023-11-15,11495758530
AZPN,2023-11-14,11255613300
AZPN,2023-11-13,10592506710
AZPN,2023-11-10,10621171260
AZPN,2023-11-09,10409053590
AZPN,2023-11-08,10679774340
AZPN,2023-11-07,11214845940
AZPN,2023-11-06,10942851210
AZPN,2023-11-03,11150509950
AZPN,2023-11-02,10953043050
AZPN,2023-11-01,11172167610
AZPN,2023-10-31,11322497250
AZPN,2023-10-30,11391929160
AZPN,2023-10-27,11369634510
AZPN,2023-10-26,11465820000
AZPN,2023-10-25,11266442130
AZPN,2023-10-24,11427600600
AZPN,2023-10-23,11381737320
AZPN,2023-10-20,11524423080
AZPN,2023-10-19,12077330400
